tweet,gender,age_group,extraversion,neuroticism,agreeableness,conscientiousness,openness
@username does Heroes of the Storm count?		,0,1,0.2,0.2,0.1,0.1,0.5
#E3 + following some game people = one bajillion tweets per second.		,0,1,0.2,0.2,0.1,0.1,0.5
"@username bringing new meaning to the term ""board member""		",0,1,0.2,0.2,0.1,0.1,0.5
"@username @username Because wool things are more volumetric, and flat/spiky things like leaves/teeth (and road) look better as felt.		",0,1,0.2,0.2,0.1,0.1,0.5
"@username Cause you're uninformed? Sudan, Uganda, Cambodia. (genocides) Yang Xinhai, Ramadan Mansour, Luis Garavito. (mass murderers)		",0,1,0.2,0.2,0.1,0.1,0.5
@username Doesn't matter much. Plenty of them support it. Current 'alpha males' didn't start patriarchy either.		,0,1,0.2,0.2,0.1,0.1,0.5
@username @username @username It's not about the money. It's about promising 1 video a month and only delivering 4 vids in 2 years.		,0,1,0.2,0.2,0.1,0.1,0.5
"No, PC Advisor. Inkjet printers do NOT fall under the category of color laser printers... http://t.co/qt1Apjcd76		",0,1,0.2,0.2,0.1,0.1,0.5
"And no, @username. Anything that has a sticker saying ""Xerox"" is not an HP Officejet. Nor is the 8100 a laser printer. http://t.co/cYSFi4GEns		",0,1,0.2,0.2,0.1,0.1,0.5
"@username I'm really saddened that you have macro photos of tablet screens, test photos on phones, but no sample scans for printers.		",0,1,0.2,0.2,0.1,0.1,0.5
"@username He has a tiny point but misses the parts where reviews drive purchases, and where letsplays are transformative in nature.		",0,1,0.2,0.2,0.1,0.1,0.5
I really quite like it that Red Bull will just up and fund stuff like Danny MacAskill's Imaginate: http://t.co/Njw81iVzjy via @username		,0,1,0.2,0.2,0.1,0.1,0.5
@username @username Availability of old/obscure/quirky/bad games is not a bad thing. The prominence and promotion of those games is.		,0,1,0.2,0.2,0.1,0.1,0.5
It sucks when your phone suddenly won't read a simcard any more. It sucks even more when your PC breaks while looking for a solution. =(		,0,1,0.2,0.2,0.1,0.1,0.5
"@username Hurray for Dutch sportsball, huh?		",0,1,0.2,0.2,0.1,0.1,0.5
@username I was on @username and noticed all the 3d models work just fine on my Nexus 7. *thumbs up* for crossplatform functionality!		,0,1,0.2,0.2,0.1,0.1,0.5
The current @username bundle is worth it just for @username 's fantastic Pineapple Smash Crew.		,0,1,0.2,0.2,0.1,0.1,0.5
"Today, fear soaked fabric as over 50 victims suffered a gruesome fate. My wardrobe shrunk from 100cm to only 57cm. (1/3)		",0,1,0.2,0.2,0.1,0.1,0.5
"Among the casualties are 6 tops, 18 tees, 10 longsleeves, 8 dress shirts, 5 pants, 6 shorts and a suit. (2/3)		",0,1,0.2,0.2,0.1,0.1,0.5
"Just saw fireworks in the #netherlands , wondering if it's for #fifaworldcup #BRAvsCOL or some U.S. expats celebrating #IndependenceDay		",0,1,0.2,0.2,0.1,0.1,0.5
"@username Man, what a waste of a tweet, talking about responses you don't like... You could have spent it on making a ""WTF is?"" video ;)		",0,1,0.2,0.2,0.1,0.1,0.5
@username But today is not that day!! http://t.co/V0y7Dpp3XM		,0,1,0.2,0.2,0.1,0.1,0.5
"@username because its spelled ""Götze"" and 'oe' is the internationally accepted spelling when you don't have access to diacritics.		",0,1,0.2,0.2,0.1,0.1,0.5
@username is this in response to the recent gamasutra article / FTC quote?		,0,1,0.2,0.2,0.1,0.1,0.5
Bought a new PC with Windows 8.1 hoping it wouldn't be so bad now with the updates. After a day I'm on the verge of a mental breakdown... =(		,0,1,0.2,0.2,0.1,0.1,0.5
Seriously. Who had the idea to replace the standard calculator by a full screen app? I don't need 1920x1200 to multiply some numbers.		,0,1,0.2,0.2,0.1,0.1,0.5
@username @username Instead you want these. Chocolate/marzipan/sugarsprinkles. Don't know the English name. http://t.co/znQjgxeIav		,0,1,0.2,0.2,0.1,0.1,0.5
